******0.980216	0.890355 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981482	0.892386 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 09:55:52, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 09:55:52, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.980742	0.891947 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98053	0.892966 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.983121	0.899592 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981188	0.893476 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980598	0.889908 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980636	0.893476 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981462	0.895515 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981464	0.893986 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980995	0.894495 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98234	0.895515 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 09:55:58, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 09:55:58, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.981142	0.896004 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980507	0.893443 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.983323	0.900615 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981289	0.895492 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980931	0.894467 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980472	0.896004 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981562	0.899078 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981513	0.89498 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980844	0.893443 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.9825	0.898566 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 09:56:04, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 09:56:04, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.98186	0.898558 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981215	0.895469 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98428	0.901648 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98131	0.895984 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981049	0.894439 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981273	0.896498 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981831	0.897528 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98197	0.900103 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980998	0.895469 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.982977	0.898043 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 09:56:10, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:00:55, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
<==========  BEGIN @ 29-Nov-2012 10:21:57, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
<==========  BEGIN @ 29-Nov-2012 10:27:44, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.981066	0.881937 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
